Equipe;NJogadores;MediaIdade;Posse;GolsPro;Assistencias;PenalConvertidos;PenalBatidos;CAmarelo;CVermelho;GolsSofridos;AssistenciasADV;PenalConvertidoADV;PenaltisADV;CAmareloADV;CVermelhoADV;ChuteADV;Defesas;JogosSemLevarGol;PenaltisSalvos;PenaltisADVFora;Finalizacoes;FinalizacoesNoGol;FinalizacoesADV;FinalizacoesNoGolADV;2Amarelo;Faltas;Impedimentos;Cruzamentos;Cortes;RoubosDeBola;2AmareloADV;FaltasADV;ImpedimentosADV;CruzamentosADV;CortesADV;RoubosDeBolaADV;VCasa;ECasa;DCasa;GPCasa;GCCasa;PtCasa;VFora;EFora;DFora;GPFora;GCFora;PtFora;V;E;D;Pt;Notas;Posicao
CRB;47;281;49.1;47;33;3;3;93;5;47;35;1;4;100;0;155;111;11;2;1;502;156;506;162;2;639;82;707;401;394;0;587;62;738;450;352;11;5;3;30;13;38;4;2;13;18;34;14;15;7;16;52;;10
CSA;43;283;50.0;49;28;5;6;100;6;36;25;2;3;94;4;145;111;11;1;0;467;148;521;154;2;683;62;794;444;369;2;578;62;840;430;300;12;3;4;32;16;39;4;7;8;18;21;19;16;10;12;58;;5
Chapecoense;36;271;49.3;40;28;3;4;93;4;21;13;4;6;85;5;153;137;24;1;1;461;152;552;164;2;659;63;647;477;457;3;621;38;903;504;338;12;6;1;20;6;42;8;7;4;22;15;31;20;13;5;73;Promovido;1
Confiança;35;272;50.0;37;23;6;7;109;6;45;32;3;5;104;3;117;76;10;2;0;506;167;376;130;4;737;53;795;477;338;1;711;64;612;403;386;7;6;6;21;21;27;5;4;10;17;25;19;12;10;16;46;;15
Cruzeiro;42;262;51.7;38;29;3;4;88;4;32;23;2;3;96;4;120;91;15;1;0;510;157;402;131;2;650;63;866;440;326;2;611;69;586;459;382;6;7;6;23;18;25;8;6;5;16;14;30;14;13;11;49;6-point deduction 1;11
Cuiabá;37;278;51.0;47;33;1;2;87;5;40;28;3;5;76;6;156;119;17;1;1;528;187;491;165;4;612;90;755;498;376;1;710;79;717;451;399;12;5;2;31;13;41;5;5;9;17;27;20;17;10;11;61;Promovido;4
Figueirense;45;259;49.4;34;23;4;5;88;3;48;33;3;3;78;2;157;111;15;0;0;400;125;532;165;1;631;81;740;442;394;1;740;81;751;486;468;6;7;6;21;18;25;3;5;11;14;31;14;9;12;17;39;Rebaixado;17
Guarani;38;256;55.2;40;26;3;5;95;8;47;30;6;6;111;5;147;105;9;0;0;525;160;479;163;4;686;59;776;410;347;2;637;90;616;492;404;8;5;6;26;20;29;5;4;10;15;28;19;13;9;16;48;;13
Juventude;40;286;51.0;51;37;6;8;95;2;41;25;7;8;88;1;150;116;14;1;0;500;163;522;167;1;720;86;791;447;340;0;623;91;781;455;338;11;6;2;30;14;39;6;4;9;22;28;22;17;10;11;61;Promovido;3
Náutico;42;260;52.8;35;26;2;4;94;2;41;32;3;3;97;4;146;107;13;0;0;560;178;505;160;0;705;80;762;396;353;2;729;59;745;447;384;8;9;2;25;15;33;2;5;12;10;27;11;10;14;14;44;;16
Oeste;47;250;46.7;27;18;4;5;87;1;56;32;6;6;69;5;216;162;6;0;0;437;129;575;226;0;706;65;694;493;420;2;610;64;802;436;385;5;3;11;13;25;18;2;5;12;15;35;11;7;8;23;29;Rebaixado;20
Operário;37;294;50.9;39;30;1;2;96;5;33;23;2;3;79;3;131;100;14;1;0;461;157;494;136;1;710;64;785;447;349;2;731;52;762;436;369;10;6;3;29;14;36;5;6;8;11;20;21;15;12;11;57;;8
Paraná;42;256;51.9;33;21;0;0;102;1;48;37;3;7;87;1;128;85;10;4;0;490;147;408;143;1;742;54;683;500;439;0;645;69;654;569;463;6;7;6;19;17;25;3;3;13;15;33;12;9;10;19;37;Rebaixado;18
Ponte Preta;39;264;54.0;51;30;7;9;85;3;46;30;4;5;91;2;144;100;7;1;0;490;164;457;159;2;728;56;705;446;397;0;646;54;674;438;354;10;5;4;29;25;35;6;4;9;25;24;22;16;9;13;57;;7
Sampaio Corrêa;36;281;49.7;49;31;7;7;73;3;38;23;8;11;115;6;129;102;11;3;0;494;161;494;154;2;601;54;609;441;372;4;720;102;694;445;396;10;0;9;23;17;30;7;6;6;27;21;27;17;6;15;57;;6
Vitória;45;258;54.2;43;26;8;9;93;5;44;27;7;7;106;5;147;109;12;0;0;589;188;511;159;2;611;92;781;468;373;4;703;62;753;481;415;8;6;5;22;15;30;3;9;7;23;30;18;11;15;12;48;;14
